行,名称,郵便番号,住所,電話番号,関連ホームページ,緯度,経度
1,あずさわ児童館,1740051,板橋区小豆沢3-9-2-103,03-3966-2825,http://www.city.itabashi.tokyo.jp/c_sections/azuj/index.html,35.78055254,139.6960174
2,大山東児童館,1730014,板橋区大山東町8-7,03-3579-6767,http://www.city.itabashi.tokyo.jp/c_sections/oyamahj/index.html,35.74746404,139.7061018
3,上板橋児童館,1740076,板橋区上板橋2-3-8,03-3933-6970,http://www.city.itabashi.tokyo.jp/c_sections/kamij/index.html,35.76169547,139.6737793
4,紅梅児童館,1750083,板橋区徳丸6-2-10,03-3934-6477,http://www.city.itabashi.tokyo.jp/c_sections/kobaij/index.html,35.77640453,139.6630818
5,さかうえ児童館,1740051,板橋区小豆沢1-20-17,03-3965-9733,http://www.city.itabashi.tokyo.jp/c_sections/sakauej/index.html,35.77569326,139.7022981
6,清水児童館,1740053,板橋区清水町72-7,03-3963-3313,http://www.city.itabashi.tokyo.jp/c_sections/shimizuj/index.html,35.76538538,139.7046049
7,志村児童館,1740056,板橋区志村2-16-11,03-3969-5881,http://www.city.itabashi.tokyo.jp/c_sections/shimuj/index.html,35.7749649,139.6858318
8,志村橋児童館,1740041,板橋区舟渡3-6-3,03-3966-6849,http://www.city.itabashi.tokyo.jp/c_sections/sbashij/index.html,35.79354685,139.6801598
9,しらさぎ児童館,1750094,板橋区成増5-19-4,03-3979-3895,http://www.city.itabashi.tokyo.jp/c_sections/shiraj/index.html,35.78805343,139.6339624
10,新河岸児童館,1750081,板橋区新河岸1-3-2-101,03-3937-8337,http://www.city.itabashi.tokyo.jp/c_sections/shingaj/index.html,35.7937633,139.664161
11,高島平児童館,1750082,板橋区高島平3-12-28,03-3979-3894,http://www.city.itabashi.tokyo.jp/c_sections/takaj/index.html,35.78700132,139.6587415
12,東新児童館,1740074,板橋区東新町2-43-5,03-3972-8020,http://www.city.itabashi.tokyo.jp/c_sections/toshinj/index.html,35.75259118,139.6806096
13,なります児童館,1750094,板橋区成増3-34-21,03-3939-6502,http://www.city.itabashi.tokyo.jp/c_sections/narij/index.html,35.78117464,139.6315036
14,西徳児童館,1750045,板橋区西台4-4-37,03-3936-2409,http://www.city.itabashi.tokyo.jp/c_sections/nishitoj/index.html,35.77020916,139.6680585
15,蓮根児童館,1740046,板橋区蓮根2-6-15,03-3968-0688,http://www.city.itabashi.tokyo.jp/c_sections/hasuj/index.html,35.78129924,139.6765946
16,蓮根第二児童館,1740046,板橋区蓮根3-15-1-104,03-3969-5582,http://www.city.itabashi.tokyo.jp/c_sections/hasu3j/index.html,35.78903786,139.6765475
17,はすのみ児童館,1750082,板橋区高島平1-50-2,03-3934-5980,http://www.city.itabashi.tokyo.jp/c_sections/hasunoj/index.html,35.78405849,139.671563
18,氷川児童館,1730013,板橋区氷川町24-2,03-3961-5723,http://www.city.itabashi.tokyo.jp/c_sections/hikawaj/index.html,35.75436514,139.7051674
19,富士見台児童館,1740063,板橋区前野町1-8-1,03-3965-8524,http://www.city.itabashi.tokyo.jp/c_sections/fujimij/index.html,35.76401331,139.69623
20,緑が丘児童館,1740064,板橋区中台3-27-2,03-3934-4176,http://www.city.itabashi.tokyo.jp/c_sections/midorij/index.html,35.77326021,139.6791025
21,南板橋児童館,1730004,板橋区板橋1-39-1,03-3963-4518,http://www.city.itabashi.tokyo.jp/c_sections/mitaj/index.html,35.74779264,139.7149683
22,南前野児童館,1740063,板橋区前野町2-23-1,03-3967-3870,http://www.city.itabashi.tokyo.jp/c_sections/mmaenoj/index.html,35.7657545,139.6882041
23,向原児童館,1730036,板橋区向原1-18-5,03-3974-6736,http://www.city.itabashi.tokyo.jp/c_sections/mukaij/index.html,35.74247383,139.6848543
24,弥生児童館,1730021,板橋区弥生町16-3,03-3956-8311,http://www.city.itabashi.tokyo.jp/c_sections/yayoij/index.html,35.75316198,139.6942392
25,ゆりの木児童館,1750093,板橋区赤塚新町3-32-11-209,03-3977-2651,http://www.city.itabashi.tokyo.jp/c_sections/yurij/index.html,35.76922728,139.6386133
26,子ども家庭支援センター,1730015,板橋区栄町36-1,03-3579-2656,http://www.city.itabashi.tokyo.jp/c_kurashi/009/009826.html,35.75096502,139.7053164
27,赤塚児童館,1750092,板橋区赤塚6-38-1,03-3938-8821,http://www.city.itabashi.tokyo.jp/c_sections/akaj/index.html,35.77884326,139.6449369
