名称,所在地,緯度,経度,電話
栄町保育園,練馬区栄町40-7,35.73960219,139.6710413,03-3994-3285
豊玉第四保育園,練馬区豊玉中1-9-11,35.73080466,139.6613958,03-3948-2391
豊玉保育園,練馬区豊玉中4-13-6,35.73263144,139.6501502,03-3991-4484
豊玉第三保育園,練馬区豊玉南3-32-37,35.72928758,139.6495081,03-3991-6762
豊玉第二保育園,練馬区豊玉北6-17-9,35.73597192,139.6499316,03-3992-3322
桜台第二保育園,練馬区桜台3-39-17,35.74603655,139.6632029,03-3993-5126
桜台保育園,練馬区桜台5-41-12,35.74438083,139.6573112,03-3993-6735
練馬保育園,練馬区練馬2-13-3,35.74220294,139.6514171,03-3991-5133
向山保育園,練馬区向山1-5-7,35.73781894,139.6422001,03-3970-6088
貫井第二保育園,練馬区貫井4-13-4,35.74098934,139.6314638,03-3990-8291
貫井保育園,練馬区貫井4-24-9,35.742196,139.6273738,03-3990-3320
氷川台第二保育園,練馬区氷川台2-16-14,35.75679545,139.6673276,03-3932-6227
氷川台保育園,練馬区氷川台4-47-12,35.75275197,139.6640449,03-3931-2603
平和台保育園,練馬区平和台2-18-14,35.76021541,139.6615056,03-3932-1484
早宮保育園,練馬区早宮3-13-31,35.75016923,139.6531991,03-3993-3151
春日町第三保育園,練馬区春日町5-30-5,35.75111098,139.6387908,03-3926-5461
春日町第二保育園,練馬区春日町1-29-8,35.75190085,139.6464682,03-3990-3325
春日町保育園,練馬区春日町5-17-10,35.74636194,139.6376534,03-3990-1843
高松保育園,練馬区高松3-24-27,35.75000131,139.6251604,03-3999-7910
北町第二保育園,練馬区北町1-19-17,35.76425315,139.6678795,03-3931-3318
北町保育園,練馬区北町3-3-14,35.7674238,139.6556458,03-3933-6497
田柄第二保育園,練馬区田柄2-6-22,35.76360908,139.6447606,03-3938-8100
田柄保育園,練馬区田柄4-36-4,35.76683961,139.6377424,03-3939-4519
光が丘保育園,練馬区光が丘1-3-104,35.76843957,139.6388875,03-3975-7139
光が丘第二保育園,練馬区光が丘1-6-3-101,35.76780947,139.6358114,03-3977-1311
光が丘第九保育園,練馬区光が丘2-4-9,35.76304131,139.6331012,03-3976-9011
光が丘第十一保育園,練馬区光が丘2-4-11-101,35.76382746,139.6327675,03-5997-6021
光が丘第七保育園,練馬区光が丘2-7-4-105,35.7610823,139.6313721,03-3976-7291
光が丘第三保育園,練馬区光が丘3-3-2-101,35.75590355,139.6271245,03-3976-4551
光が丘第十保育園,練馬区光が丘3-7-3-101,35.7581089,139.6307849,03-5997-6011
光が丘第八保育園,練馬区光が丘5-2-3,35.75899495,139.6271347,03-3979-9215
光が丘第四保育園,練馬区光が丘7-3-1-102,35.75627838,139.6257411,03-3976-1562
光が丘第五保育園,練馬区光が丘7-3-3-101,35.75579931,139.6248509,03-3976-6316
光が丘第六保育園,練馬区光が丘7-7-2-101,35.75812127,139.6233364,03-3976-6321
旭町第二保育園,練馬区旭町1-33-22-107,35.76622719,139.6247877,03-3977-1611
旭町保育園,練馬区旭町3-11-6,35.77429304,139.6250324,03-3938-3680
土支田保育園,練馬区土支田2-32-8,35.76362736,139.6136239,03-3925-4787
富士見台こぶし保育園,練馬区富士見台3-10-1,35.73863488,139.624377,03-3926-1071
南田中第二保育園,練馬区南田中3-31-4,35.73896738,139.6177314,03-3997-3568
南田中保育園,練馬区南田中5-25-16,35.73892257,139.613291,03-3996-7800
高野台保育園,練馬区高野台3-25-17,35.74442935,139.6124597,03-3996-4615
谷原保育園,練馬区谷原5-16-41,35.75050963,139.6107845,03-3996-0020
石神井町さくら保育園,練馬区石神井町7-25-45,35.74418607,139.5993474,03-3997-0070
石神井町つつじ保育園,練馬区石神井町8-1-10,35.74533972,139.6016732,03-3997-8646
石神井台保育園,練馬区石神井台2-18-13,35.73569585,139.5898354,03-3995-8271
石神井台第二保育園,練馬区石神井台6-2-10,35.74015948,139.5860776,03-3925-8301
上石神井第二保育園,練馬区上石神井1-5-3,35.72564673,139.5920183,03-3929-3247
上石神井第三保育園,練馬区石神井台4-5-20,35.73169851,139.5846438,03-3928-1451
上石神井保育園,練馬区上石神井4-21-3,35.72991977,139.5879852,03-3920-3567
下石神井第三保育園,練馬区下石神井6-8-15,35.73363491,139.6036463,03-3904-3061
関町保育園,練馬区関町南3-9-29,35.72120889,139.5817731,03-3929-2600
関町第二保育園,練馬区関町北3-20-30,35.72557023,139.5703519,03-3928-1487
関町第三保育園,練馬区関町北5-4-12,35.73265403,139.5746759,03-3929-3285
東大泉保育園,練馬区東大泉3-60-2-101,35.75638644,139.5904445,03-3924-0966
東大泉第二保育園,練馬区東大泉7-20-1,35.74260481,139.577047,03-3921-9126
西大泉保育園,練馬区西大泉3-21-16,35.75953203,139.5788621,03-3924-9500
南大泉保育園,練馬区南大泉5-26-7,35.75117272,139.5731205,03-3921-4851
北大泉保育園,練馬区大泉町4-15-15,35.76292508,139.6001532,03-3921-4852
大泉学園保育園,練馬区大泉学園町8-9-5,35.77263126,139.5927931,03-3922-3811
東大泉第三保育園,練馬区東大泉2-42-5,35.75423315,139.5924028,03-3922-0550
