No,施設名称,目安となる小学校,所在地,連絡先,緯度,経度,備考
1,武蔵野台クラブ ,福生第一小学校,東京都福生市武蔵野台1-12-2,042-551-6732,35.746791,139.33393,
2,たんぽぽクラブ,福生第二小学校,東京都福生市熊川559-1,042-552-0717,35.72409,139.337734,
3,臨時第2たんぽぽクラブ,福生第二小学校,東京都福生市熊川623,042-553-9402,35.72477985,139.33635433,
4,熊川クラブ,福生第二・福生第三小学校 ,東京都福生市熊川1143-1　都営熊川アパート23号棟1階,042-539-1587,35.730164,139.341226,
5,さくらクラブ,福生第三小学校,東京都福生市牛浜163,042-552-8255,35.733801,139.337253,
6,わかぎりクラブ,福生第四小学校,東京都福生市福生1280-1,042-551-8165,35.746205,139.320818,
7,わかたけクラブ,福生第五小学校,東京都福生市熊川199-1,042-552-0445,35.718125,139.335006,
8,亀の子クラブ,福生第六小学校,東京都福生市加美平1-20-6,042-552-0446,35.7504,139.325401,
9,田園クラブ,福生第七小学校,東京都福生市南田園3-6-1,042-553-3756,35.730086,139.331015,
10,臨時第2田園クラブ,福生第七小学校,東京都福生市北田園1-1-1,042-551-4690,35.7324137,139.3274775,
,,,,,,,
,,,,,,,
,,,,,,,
